# Crooked-pipe probe temperatures, Steinberg & Heizler 2022 Fig. 8
# Probes (r, z_axis=x): P1 (0, 0.25), P2 (0, 2.75), P3 (1.25, 3.5), P4 (0, 4.25), P5 (0, 6.75) cm
# t_ns, cycle, T1_keV, T2_keV, T3_keV, T4_keV, T5_keV
0, 0, 0.05, 0.05, 0.05, 0.05, 0.05
0.01, 1, 0.0500426, 0.0499953, 0.0499952, 0.0499952, 0.049995
0.021, 2, 0.0566402, 0.0499913, 0.0499912, 0.0499912, 0.0499904
0.0331, 3, 0.0699264, 0.0499891, 0.0499884, 0.0499888, 0.0499871
0.04641, 4, 0.0829724, 0.0499879, 0.0499884, 0.0499875, 0.0499865
0.061051, 5, 0.096858, 0.0499884, 0.0499862, 0.0499876, 0.0499838
0.0771561, 6, 0.112087, 0.0499881, 0.0499864, 0.0499871, 0.0499811
0.0948717, 7, 0.132846, 0.0500233, 0.0499863, 0.0499861, 0.0499792
0.114359, 8, 0.153011, 0.0502798, 0.0499847, 0.0499864, 0.0499784
0.135795, 9, 0.177492, 0.0505953, 0.0499858, 0.0499884, 0.0499758
0.159374, 10, 0.201794, 0.0511138, 0.049987, 0.049989, 0.0499738
0.185312, 11, 0.224384, 0.0519484, 0.0499894, 0.0499864, 0.0499682
0.213843, 12, 0.247701, 0.0527388, 0.0499883, 0.0499868, 0.049963
0.245227, 13, 0.267492, 0.0531958, 0.0499873, 0.049984, 0.0499643
0.27975, 14, 0.283674, 0.0535893, 0.0499954, 0.0499829, 0.0499572
0.317725, 15, 0.305922, 0.0542495, 0.0499886, 0.0499794, 0.0499591
0.359497, 16, 0.326313, 0.0550843, 0.0499876, 0.04998, 0.0499571
0.405447, 17, 0.333173, 0.0560487, 0.0499888, 0.0499837, 0.0499498
0.455992, 18, 0.338857, 0.0572781, 0.0499922, 0.0499791, 0.0499481
0.511591, 19, 0.346208, 0.0590117, 0.0499971, 0.0499764, 0.0499394
0.57275, 20, 0.343866, 0.059903, 0.0499957, 0.0499693, 0.0499303
0.640025, 21, 0.351979, 0.0624005, 0.0499814, 0.0499647, 0.0499274
0.714027, 22, 0.357066, 0.0649911, 0.0499897, 0.0499702, 0.0499174
0.79543, 23, 0.352958, 0.0674479, 0.0499857, 0.0499661, 0.0499125
0.884973, 24, 0.354085, 0.0693573, 0.0499828, 0.0499625, 0.0499161
0.983471, 25, 0.359121, 0.07151, 0.0499909, 0.049963, 0.0499124
1.09182, 26, 0.358213, 0.0741749, 0.0499607, 0.049953, 0.0498916
1.211, 27, 0.355004, 0.0778046, 0.0499477, 0.0499591, 0.0498912
1.3421, 28, 0.373867, 0.0797437, 0.0499581, 0.0499479, 0.0498812
1.48631, 29, 0.373041, 0.0827865, 0.0499735, 0.0499285, 0.0498509
1.64494, 30, 0.370592, 0.0879856, 0.0499955, 0.0499124, 0.0498421
1.81943, 31, 0.373764, 0.094143, 0.0499686, 0.049907, 0.0498281
2.01138, 32, 0.368294, 0.100638, 0.0499834, 0.0498991, 0.0497967
2.22252, 33, 0.371762, 0.103898, 0.0499863, 0.0499073, 0.0497558
2.45477, 34, 0.379015, 0.109749, 0.0499753, 0.0498887, 0.0497517
2.71024, 35, 0.385253, 0.112431, 0.0500137, 0.0499001, 0.0497358
2.99127, 36, 0.39316, 0.115836, 0.0500531, 0.0499258, 0.0497362
3.30039, 37, 0.39225, 0.122267, 0.0500534, 0.0499134, 0.0496877
3.64043, 38, 0.391182, 0.125594, 0.0500277, 0.0499234, 0.0496882
4.01448, 39, 0.404154, 0.132953, 0.050068, 0.0498939, 0.0496845
4.42593, 40, 0.408092, 0.141585, 0.0501077, 0.0498991, 0.0496334
4.87852, 41, 0.405337, 0.147304, 0.0501243, 0.0498565, 0.0496084
5.37637, 42, 0.40243, 0.1483, 0.0501163, 0.0498135, 0.0495184
5.92401, 43, 0.411558, 0.152607, 0.0500993, 0.0497888, 0.049475
6.52641, 44, 0.411153, 0.158332, 0.0500523, 0.0497687, 0.0494053
7.18905, 45, 0.415645, 0.162597, 0.0501419, 0.0497548, 0.049314
7.91795, 46, 0.422788, 0.170822, 0.0502117, 0.0497537, 0.0492468
8.71975, 47, 0.415986, 0.188257, 0.0501279, 0.0497515, 0.0491623
9.60172, 48, 0.423339, 0.181901, 0.0500455, 0.0497166, 0.0489813
10.5719, 49, 0.435438, 0.188965, 0.0500303, 0.0496646, 0.0490143
11.5719, 50, 0.428659, 0.188447, 0.0499271, 0.0496333, 0.0488755
12.5719, 51, 0.437362, 0.189663, 0.049979, 0.0496023, 0.0486679
13.5719, 52, 0.43498, 0.196743, 0.0502169, 0.0495838, 0.048609
14.5719, 53, 0.43058, 0.207648, 0.0502007, 0.0496281, 0.0484888
15.5719, 54, 0.4375, 0.208023, 0.0500356, 0.0496132, 0.0484407
16.5719, 55, 0.438722, 0.201644, 0.0500641, 0.0495905, 0.048358
17.5719, 56, 0.43521, 0.208541, 0.0502305, 0.0495987, 0.0483216
18.5719, 57, 0.442937, 0.209424, 0.0502852, 0.0496149, 0.04821
19.5719, 58, 0.43758, 0.219046, 0.0503622, 0.0497491, 0.0480897
20.5719, 59, 0.443074, 0.221387, 0.0506863, 0.0497416, 0.0479195
21.5719, 60, 0.443141, 0.219335, 0.0508249, 0.049827, 0.0478283
22.5719, 61, 0.442528, 0.226133, 0.050959, 0.0498049, 0.0476834
23.5719, 62, 0.448579, 0.226707, 0.0511882, 0.0498833, 0.0477136
24.5719, 63, 0.439626, 0.230919, 0.05173, 0.0499533, 0.0476868
25.5719, 64, 0.438642, 0.236318, 0.0520095, 0.0498703, 0.0475001
26.5719, 65, 0.438416, 0.235272, 0.0524471, 0.049941, 0.047451
27.5719, 66, 0.446623, 0.236107, 0.0529083, 0.0500323, 0.0473939
28.5719, 67, 0.438937, 0.237416, 0.0535637, 0.0502082, 0.0473845
29.5719, 68, 0.436365, 0.241606, 0.0540928, 0.0501357, 0.0473432
30.5719, 69, 0.443864, 0.243006, 0.0542535, 0.0501699, 0.0471954
31.5719, 70, 0.44309, 0.23863, 0.0549837, 0.0501575, 0.0472413
32.5719, 71, 0.449988, 0.255086, 0.0556498, 0.0500769, 0.0470962
33.5719, 72, 0.444342, 0.243527, 0.0560712, 0.0500404, 0.0469825
34.5719, 73, 0.446623, 0.253623, 0.0567681, 0.0500927, 0.0469256
35.5719, 74, 0.443568, 0.249308, 0.0573416, 0.0500891, 0.046996
36.5719, 75, 0.448638, 0.255124, 0.0577223, 0.0501868, 0.0470016
37.5719, 76, 0.45339, 0.244843, 0.0585564, 0.0500919, 0.0468764
38.5719, 77, 0.45002, 0.246434, 0.0592887, 0.0500429, 0.0468176
39.5719, 78, 0.448837, 0.248447, 0.0603311, 0.0500428, 0.0468953
40.5719, 79, 0.448757, 0.249085, 0.0614701, 0.0501403, 0.0468413
41.5719, 80, 0.447866, 0.250892, 0.062673, 0.0501839, 0.046784
42.5719, 81, 0.451444, 0.255251, 0.0640615, 0.0501668, 0.046808
43.5719, 82, 0.450788, 0.255996, 0.0649432, 0.0501974, 0.0466967
44.5719, 83, 0.452883, 0.256092, 0.066243, 0.0502339, 0.0466805
45.5719, 84, 0.449963, 0.248637, 0.067125, 0.0503433, 0.0466322
46.5719, 85, 0.449972, 0.250036, 0.0683464, 0.050307, 0.0465449
47.5719, 86, 0.44362, 0.256363, 0.0688704, 0.0502722, 0.0465638
48.5719, 87, 0.448916, 0.258424, 0.0699774, 0.0502785, 0.0465753
49.5719, 88, 0.454682, 0.267749, 0.0714701, 0.0504293, 0.0467084
50.5719, 89, 0.455485, 0.259017, 0.0728725, 0.0504245, 0.0466761
51.5719, 90, 0.458278, 0.263776, 0.0739869, 0.0504589, 0.0466199
52.5719, 91, 0.450756, 0.264664, 0.0751467, 0.0503312, 0.0465886
53.5719, 92, 0.450474, 0.26284, 0.0761368, 0.0503753, 0.0465469
54.5719, 93, 0.448614, 0.259658, 0.0776148, 0.0504749, 0.046527
55.5719, 94, 0.45139, 0.26026, 0.0781388, 0.0504886, 0.0464698
56.5719, 95, 0.451491, 0.257457, 0.0791691, 0.0503134, 0.0463992
57.5719, 96, 0.454395, 0.263843, 0.0801844, 0.0502152, 0.0465284
58.5719, 97, 0.457336, 0.264112, 0.0817626, 0.0501889, 0.0465701
59.5719, 98, 0.454054, 0.264105, 0.0826871, 0.0502941, 0.0465916
60.5719, 99, 0.453103, 0.267309, 0.0827637, 0.0502613, 0.0465838
61.5719, 100, 0.449851, 0.261386, 0.0839523, 0.0502422, 0.0465213
62.5719, 101, 0.454261, 0.264231, 0.0847817, 0.050205, 0.0465157
63.5719, 102, 0.451928, 0.270215, 0.0856657, 0.0502374, 0.0465721
64.5719, 103, 0.460011, 0.263834, 0.0868992, 0.0502402, 0.0464574
65.5719, 104, 0.452698, 0.265936, 0.087918, 0.0501885, 0.0464755
66.5719, 105, 0.457909, 0.259005, 0.0883711, 0.0502129, 0.0465037
