# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 8(a)
# Crooked-pipe material temperature vs time (DIMC).
# Probes: P1 (r=0,z=0.25), P2 (0,2.75), P3 (1.25,3.5), P4 (0,4.25), P5 (0,6.75) cm
# t_ns, T1_keV, T2_keV, T3_keV, T4_keV, T5_keV
# t_ns,T1_keV,T2_keV,T3_keV,T4_keV,T5_keV
0.01,0.051751974,0.049995565,0.049995565,0.049995565,0.049995565
0.010292748,0.051751974,0.049995565,0.049995565,0.049995565,0.049995565
0.010594066,0.051751974,0.049995565,0.049995565,0.049995565,0.049995565
0.010904204,0.051751974,0.049995565,0.049995565,0.049995565,0.049995565
0.011223423,0.052047925,0.049995565,0.049995565,0.049995565,0.049995565
0.011551986,0.052483296,0.049995565,0.049995565,0.049995565,0.049995565
0.011890167,0.052931412,0.049995565,0.049995565,0.049995565,0.049995565
0.012238249,0.053392647,0.049995565,0.049995565,0.049995565,0.049995565
0.012596521,0.053867384,0.049995565,0.049995565,0.049995565,0.049995565
0.012965282,0.05435602,0.049995565,0.049995565,0.049995565,0.049995565
0.013344837,0.05485896,0.049995565,0.049995565,0.049995565,0.049995565
0.013735504,0.055376623,0.049995565,0.049995565,0.049995565,0.049995565
0.014137608,0.055909441,0.049995565,0.049995565,0.049995565,0.049995565
0.014551483,0.056457857,0.049995565,0.049995565,0.049995565,0.049995565
0.014977475,0.057022327,0.049995565,0.049995565,0.049995565,0.049995565
0.015415937,0.057603323,0.049995565,0.049995565,0.049995565,0.049995565
0.015867235,0.058201327,0.049995565,0.049995565,0.049995565,0.049995565
0.016331745,0.058816837,0.049995565,0.049995565,0.049995565,0.049995565
0.016809853,0.059450367,0.049995565,0.049995565,0.049995565,0.049995565
0.017301957,0.060102443,0.049995565,0.049995565,0.049995565,0.049995565
0.017808468,0.060773608,0.049995565,0.049995565,0.049995565,0.049995565
0.018329807,0.061464421,0.049995565,0.049995565,0.049995565,0.049995565
0.018866408,0.062175458,0.049995565,0.049995565,0.049995565,0.049995565
0.019418718,0.06290731,0.049995565,0.049995565,0.049995565,0.049995565
0.019987196,0.063660587,0.049995565,0.049995565,0.049995565,0.049995565
0.020572317,0.064435916,0.049995565,0.049995565,0.049995565,0.049995565
0.021174567,0.065233943,0.049995565,0.049995565,0.049995565,0.049995565
0.021794448,0.066055331,0.049995565,0.049995565,0.049995565,0.049995565
0.022432475,0.066900766,0.049995565,0.049995565,0.049995565,0.049995565
0.023089181,0.067781382,0.049995565,0.049995565,0.049995356,0.049995356
0.023765111,0.068713336,0.049995565,0.049995565,0.049994631,0.049994631
0.024460829,0.069678964,0.049995565,0.049995565,0.049993756,0.049993756
0.025176915,0.070675574,0.049995565,0.049995565,0.049992801,0.049992801
0.025913963,0.071701358,0.049995565,0.049995565,0.049991819,0.049991819
0.026672588,0.072757172,0.049995565,0.049995565,0.049990807,0.049990807
0.027453422,0.073843895,0.049995565,0.049995565,0.049989766,0.049989766
0.028257115,0.074962432,0.049995565,0.049995565,0.049988695,0.049988695
0.029084336,0.076113713,0.049995565,0.049995565,0.049987592,0.049987592
0.029935773,0.077298698,0.049995565,0.049995565,0.049986457,0.049986457
0.030812136,0.078518373,0.049995565,0.049995565,0.049985289,0.049985289
0.031714154,0.079773754,0.049995565,0.049995565,0.049984086,0.049984086
0.032642579,0.081065886,0.049995565,0.049995565,0.049982849,0.049982849
0.033598183,0.082395845,0.049995565,0.049995565,0.049981575,0.049981575
0.034581762,0.083764737,0.049995565,0.049995565,0.049980263,0.049980263
0.035594135,0.085173704,0.049995565,0.049995565,0.049978914,0.049978914
0.036636145,0.086601081,0.049995102,0.049995565,0.049978034,0.049978034
0.03770866,0.088037643,0.049993965,0.049995565,0.049977854,0.049977854
0.038812573,0.089509391,0.049992656,0.049995565,0.049977823,0.049977823
0.039948802,0.091022774,0.049991279,0.049995565,0.049977823,0.049977823
0.041118294,0.092580462,0.049989861,0.049995565,0.049977823,0.049977823
0.042322023,0.09418375,0.049988402,0.049995565,0.049977823,0.049977823
0.04356099,0.095833974,0.049986901,0.049995565,0.049977823,0.049977823
0.044836228,0.097532508,0.049985355,0.049995565,0.049977823,0.049977823
0.046148799,0.099280766,0.049983765,0.049995565,0.049977823,0.049977823
0.047499794,0.1010802,0.049982127,0.049995565,0.049977823,0.049977823
0.04889034,0.10293232,0.049980442,0.049995565,0.049977823,0.049977823
0.050321594,0.10484835,0.049978972,0.049995565,0.049977823,0.049977823
0.051794747,0.10684328,0.049978083,0.049995565,0.049977823,0.049977823
0.053311026,0.10892061,0.049977823,0.049995565,0.049977823,0.049977823
0.054871694,0.11106852,0.049977823,0.049995565,0.049977823,0.049977823
0.056478051,0.11327932,0.049977823,0.049995565,0.049977823,0.049977823
0.058131433,0.11555484,0.049977823,0.049995565,0.049977823,0.049977823
0.059833217,0.11789698,0.049977823,0.049995565,0.049977823,0.049977823
0.061584821,0.12030768,0.049977823,0.049995565,0.049977823,0.049977823
0.063387703,0.12278895,0.049977823,0.049995565,0.049977823,0.049977823
0.065243363,0.12534286,0.049977823,0.049995565,0.049977823,0.049977823
0.067153348,0.1280109,0.049978593,0.049994795,0.049978593,0.049977053
0.069119247,0.13077781,0.049979792,0.049993595,0.049979792,0.049975854
0.071142697,0.13366616,0.049981818,0.04999157,0.049981818,0.049973828
0.073225383,0.13663907,0.049983903,0.049989485,0.049983903,0.049971743
0.07536904,0.139699,0.049986049,0.049987339,0.049986049,0.049969598
0.077575451,0.14284852,0.049988257,0.049985131,0.049988257,0.049967389
0.079846455,0.14609024,0.049990531,0.049982857,0.049990531,0.049965116
0.082183942,0.14942685,0.049992871,0.049980517,0.049992871,0.049962776
0.084589858,0.15284438,0.05000488,0.049979671,0.049994461,0.049961186
0.087066207,0.15635104,0.050023494,0.049979818,0.049995565,0.049960082
0.08961505,0.15993707,0.050055989,0.049982139,0.049995565,0.049960082
0.09223851,0.16362807,0.050089435,0.049984528,0.049995565,0.049960082
0.094938772,0.16742713,0.05012386,0.049986987,0.049995565,0.049960082
0.097718083,0.17133741,0.050159293,0.049989518,0.049995565,0.049960082
0.10057876,0.17536216,0.050195763,0.049992123,0.049995565,0.049960082
0.10352318,0.17950473,0.050233301,0.049994804,0.049995565,0.049960082
0.1065538,0.1834912,0.050287171,0.049995353,0.049993556,0.049960082
0.10967313,0.18755013,0.050345049,0.049995565,0.049991169,0.049960082
0.11288379,0.19170052,0.050406123,0.049995565,0.049988514,0.049960082
0.11618844,0.19597242,0.050468986,0.049995565,0.04998578,0.049960082
0.11958983,0.20036938,0.050533688,0.049995565,0.049982967,0.049960082
0.12309079,0.20489505,0.050600285,0.049995565,0.049980072,0.049960082
0.12669425,0.20948192,0.050670937,0.049995565,0.049978423,0.049960082
0.13040319,0.21414305,0.050745429,0.049995565,0.049977847,0.049960082
0.13422072,0.21891019,0.050823001,0.049995565,0.049977823,0.049960082
0.13815,0.22381555,0.050902883,0.049995565,0.049977823,0.049960082
0.14219431,0.22886452,0.050985104,0.049995565,0.049977823,0.049960082
0.14635701,0.23403386,0.051071321,0.049995565,0.049977964,0.049959941
0.15064158,0.23924091,0.051166639,0.049995565,0.049978692,0.049959213
0.15505158,0.24415844,0.051290331,0.049995565,0.049981709,0.049956196
0.15959068,0.24921994,0.051417645,0.049995565,0.049984814,0.049953091
0.16426266,0.25442961,0.051548686,0.049995565,0.04998801,0.049949895
0.16907141,0.25979179,0.051683563,0.049995565,0.0499913,0.049946605
0.17402094,0.26506562,0.051824561,0.049994797,0.049993841,0.049944064
0.17911536,0.2701671,0.051972583,0.049992986,0.04999533,0.049942575
0.18435892,0.27504143,0.052128273,0.049989943,0.049995565,0.04994234
0.18975599,0.27998819,0.052289143,0.049986591,0.049995565,0.04994234
0.19531105,0.28507976,0.052454723,0.049983142,0.049995565,0.04994234
0.20102874,0.29020548,0.052624132,0.04998025,0.049995565,0.04994174
0.20691381,0.29538557,0.052797652,0.049977823,0.049995565,0.049940622
0.21297116,0.30028178,0.052972394,0.049977823,0.049995565,0.049937195
0.21920585,0.30532132,0.053152252,0.049977823,0.049995565,0.049933669
0.22562305,0.3105084,0.053337375,0.049977823,0.049995565,0.049930039
0.23222811,0.3155694,0.053524601,0.049977358,0.0499951,0.04992635
0.23902653,0.32017935,0.053710155,0.049975878,0.049993619,0.049922653
0.24602398,0.32368535,0.053886354,0.049972282,0.049990023,0.049919057
0.25322628,0.32729398,0.05406771,0.049968581,0.049986322,0.049915356
0.26063942,0.33099116,0.054253896,0.04996486,0.049982521,0.049911555
0.26826958,0.33469236,0.054442606,0.049961575,0.049978658,0.049907692
0.27612311,0.33813971,0.054626669,0.049960082,0.049974854,0.049903888
0.28420655,0.34139333,0.054807845,0.049960082,0.04997108,0.049900114
0.29252663,0.34474221,0.054994325,0.049960082,0.049967195,0.049896229
0.30109028,0.34805064,0.055186745,0.049960082,0.049963636,0.04989227
0.30990463,0.35122623,0.055385596,0.049960082,0.049960703,0.049888262
0.31897702,0.35374027,0.055592886,0.049960082,0.049960082,0.049884354
0.328315,0.35612661,0.055806943,0.049960082,0.049960082,0.04988039
0.33792635,0.35858282,0.056027267,0.049960082,0.049960082,0.04987631
0.34781907,0.36100932,0.056303104,0.049961288,0.049962493,0.049872229
0.35800139,0.36343796,0.056620281,0.049963346,0.049966611,0.049868109
0.3684818,0.36577498,0.057025311,0.049967397,0.049974712,0.049864059
0.37926902,0.36818042,0.057442198,0.049971566,0.04998305,0.04985989
0.39037203,0.37065628,0.05787129,0.049975856,0.049991632,0.049855599
0.40180009,0.37240686,0.05819566,0.049977202,0.049997114,0.049851462
0.41356269,0.37401021,0.058500345,0.049977823,0.050001924,0.049847274
0.42566965,0.37549446,0.05878954,0.049977823,0.050006176,0.049843021
0.43813103,0.37701642,0.059101661,0.049977309,0.050009475,0.049838696
0.45095721,0.37857679,0.0594384,0.049976231,0.050011714,0.049834299
0.46415888,0.38014819,0.059872325,0.049972018,0.050007501,0.049830086
0.47774703,0.38176559,0.060318954,0.049967682,0.050003165,0.04982575
