# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 8(a)
# Crooked-pipe material temperature vs time (Gentile 2001).
# Probes: P1 (r=0,z=0.25), P2 (0,2.75), P3 (1.25,3.5), P4 (0,4.25), P5 (0,6.75) cm
# t_ns, T1_keV, T2_keV, T3_keV, T4_keV, T5_keV
# t_ns,T1_keV,T2_keV,T3_keV,T4_keV,T5_keV
0.01,0.049995565,0.049995565,0.049995565,0.04981815,0.049640735
0.010292748,0.050022891,0.049995155,0.049995564,0.049818152,0.049640736
0.010594066,0.050477363,0.049994045,0.049995549,0.049818157,0.049640738
0.010904204,0.05094514,0.049992903,0.049995533,0.049818162,0.04964074
0.011223423,0.051426611,0.049991727,0.049995517,0.049818167,0.049640742
0.011551986,0.051922177,0.049990516,0.0499955,0.049818172,0.049640744
0.011890167,0.052432251,0.049989271,0.049995483,0.049818178,0.049640746
0.012238249,0.052957257,0.049987989,0.049995466,0.049818184,0.049640749
0.012596521,0.053497632,0.049986669,0.049995448,0.04981819,0.049640751
0.012965282,0.054035529,0.049985311,0.049995429,0.049818196,0.049640753
0.013344837,0.0544316,0.049983913,0.04999541,0.049818202,0.049640755
0.013735504,0.054830061,0.049982474,0.04999539,0.049818208,0.049640758
0.014137608,0.055231367,0.049980993,0.04999537,0.049818215,0.04964076
0.014551483,0.055644422,0.049979468,0.049995349,0.049818222,0.049640763
0.014977475,0.056069568,0.049977899,0.049995327,0.049818229,0.049640765
0.015415937,0.056507161,0.049976284,0.049995305,0.049818236,0.049640768
0.015867235,0.056957564,0.049974622,0.049995282,0.049818244,0.049640771
0.016331745,0.057421153,0.049972911,0.049995259,0.049818251,0.049640774
0.016809853,0.057898312,0.04997115,0.049995235,0.049818259,0.049640777
0.017301957,0.058389441,0.049969337,0.04999521,0.049818267,0.04964078
0.017808468,0.058894947,0.049967471,0.049995184,0.049818276,0.049640783
0.018329807,0.059389876,0.049965551,0.049995158,0.049818284,0.049640786
0.018866408,0.059870555,0.049963574,0.049995131,0.049818293,0.04964079
0.019418718,0.060318445,0.04996154,0.049995103,0.049818302,0.049640793
0.019987196,0.060779448,0.049959446,0.049995074,0.049818312,0.049640797
0.020572317,0.061304072,0.049957291,0.049995045,0.049818321,0.0496408
0.021174567,0.062055227,0.049955073,0.049995014,0.049818331,0.049640804
0.021794448,0.062843333,0.049952789,0.049994983,0.049818342,0.049640808
0.022432475,0.063664507,0.049950439,0.049994951,0.049818352,0.049640812
0.023089181,0.06450972,0.04994802,0.049994918,0.049818363,0.049640816
0.023765111,0.065379677,0.049945531,0.049994883,0.049818374,0.04964082
0.024460829,0.066275101,0.049942968,0.049994848,0.049818386,0.049640824
0.025176915,0.067196739,0.04994033,0.049994812,0.049818398,0.049640829
0.025913963,0.068139474,0.049937615,0.049994775,0.04981841,0.049640833
0.026672588,0.069090743,0.049934821,0.049994737,0.049818422,0.049640838
0.027453422,0.070015881,0.049931945,0.049994697,0.049818435,0.049640843
0.028257115,0.070938263,0.049928985,0.049994656,0.049818448,0.049640848
0.029084336,0.071887647,0.049925938,0.049994615,0.049818462,0.049640853
0.029935773,0.072864824,0.049922802,0.049994572,0.049818476,0.049640858
0.030812136,0.073870608,0.049919574,0.049994527,0.049818491,0.049640864
0.031714154,0.074905836,0.049916251,0.049994482,0.049818506,0.049640869
0.032642579,0.07597137,0.049912831,0.049994435,0.049818521,0.049640875
0.033598183,0.077068097,0.049909311,0.049994387,0.049818537,0.049640881
