# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 8(a)
# Crooked-pipe material temperature vs time (IMC).
# Probes: P1 (r=0,z=0.25), P2 (0,2.75), P3 (1.25,3.5), P4 (0,4.25), P5 (0,6.75) cm
# t_ns, T1_keV, T2_keV, T3_keV, T4_keV, T5_keV
# t_ns,T1_keV,T2_keV,T3_keV,T4_keV,T5_keV
0.01,0.051645525,0.049995565,0.049995565,0.049995565,0.049995565
0.010292748,0.051645525,0.049995565,0.049995565,0.049995565,0.049995565
0.010594066,0.051645525,0.049995565,0.049995565,0.049995565,0.049995565
0.010904204,0.051645525,0.049995565,0.049995565,0.049995565,0.049995565
0.011223423,0.051931982,0.049995565,0.049995565,0.049995565,0.049995565
0.011551986,0.052353386,0.049995565,0.049995565,0.049995565,0.049995565
0.011890167,0.052787127,0.049995565,0.049995565,0.049995565,0.049995565
0.012238249,0.053233566,0.049995565,0.049995565,0.049995565,0.049995565
0.012596521,0.053693074,0.049995565,0.049995565,0.049995565,0.049995565
0.012965282,0.054166034,0.049995565,0.049995565,0.049995565,0.049995565
0.013344837,0.05465284,0.049995565,0.049995565,0.049995565,0.049995565
0.013735504,0.055153897,0.049995565,0.049995565,0.049995565,0.049995565
0.014137608,0.055669622,0.049995565,0.049995565,0.049995565,0.049995565
0.014551483,0.056200445,0.049995565,0.049995565,0.049995565,0.049995565
0.014977475,0.056746807,0.049995565,0.049995565,0.049995565,0.049995565
0.015415937,0.057309165,0.049995565,0.049995565,0.049995565,0.049995565
0.015867235,0.057887985,0.049995565,0.049995565,0.049995565,0.049995565
0.016331745,0.05848375,0.049995565,0.049995565,0.049995565,0.049995565
0.016809853,0.059096956,0.049995565,0.049995565,0.049995565,0.049995565
0.017301957,0.059728113,0.049995565,0.049995565,0.049995565,0.049995565
0.017808468,0.060377748,0.049995565,0.049995565,0.049995565,0.049995565
0.018329807,0.0610464,0.049995565,0.049995565,0.049995565,0.049995565
0.018866408,0.061734627,0.049995565,0.049995565,0.049995565,0.049995565
0.019418718,0.062443002,0.049995565,0.049995565,0.049995565,0.049995565
0.019987196,0.063172114,0.049995565,0.049995565,0.049995565,0.049995565
