ct,r_cm,log10_value
2,0.01554778859,-5.226899374
2,0.06827921204,-5.238796477
2,0.1327491649,-5.288700865
2,0.208117829,-5.371792359
2,0.292739503,-5.530804792
2,0.4117875427,-5.889293372
2,0.5375677941,-6.314093106
2,0.6440518433,-6.651199006
2,0.7010299591,-6.772188866
2,0.7023482092,-4.778698121
2,0.7031381612,-6.091088366
2,0.7068968246,-5.383892969
2,0.7384701807,-5.00179745
2,0.7763683733,-5.412398433
2,0.8690406627,-6.440091367
2,0.9389246541,-7.1521079
2,1.008602501,-7.534203419
2,1.152697829,-7.837998006
2,1.321000283,-7.966297915
2,1.418900428,-7.978195017
2.5,0.01638802906,-5.007494721
2.5,0.1164970685,-5.066384994
2.5,0.2322242236,-5.198910801
2.5,0.3242676379,-5.398686001
2.5,0.4653792836,-5.835992406
2.5,0.5782987272,-6.222892818
2.5,0.6933919399,-6.542514219
2.5,0.7034450363,-4.768099458
2.5,0.7076817861,-5.638502612
2.5,0.7152191515,-4.616806001
2.5,0.7501586136,-4.787088769
2.5,0.7844490851,-5.102388729
2.5,0.8888399804,-6.111594911
2.5,0.9648979426,-6.860005952
2.5,1.049801309,-7.423498839
2.5,1.136702396,-7.698897836
2.5,1.246502417,-7.860900787
2.5,1.359205581,-7.959706354
2.5,1.45630065,-7.978695666
2.5,1.534904439,-7.995507536
3,0.01425464438,-4.854588486
3,0.0662665198,-4.875689313
3,0.1387167609,-4.917891923
3,0.2279172234,-5.023195418
3,0.3339082149,-5.244494703
3,0.4678799664,-5.676385691
3,0.5683462078,-5.987193185
3,0.6762291223,-6.2715924
3,0.6966674497,-6.282191063
3,0.7052867476,-5.176197196
3,0.7084615268,-4.264999747
3,0.7085371515,-4.396696234
3,0.7494692386,-4.528392722
3,0.8633599032,-5.529097426
3,0.9791775776,-6.666789828
3,1.076101665,-7.314595257
3,1.17290483,-7.635906827
3,1.340201129,-7.883504517
3,1.460904467,-7.941502412
3,1.689400124,-7.96260324
