ct,r_cm,log10_value
2,0.007064423232,-5.240502887
2,0.02121338481,-5.245543773
2,0.03535213512,-5.245167331
2,0.04950117347,-5.244917006
2,0.06364000057,-5.253621038
2,0.07777882766,-5.257003285
2,0.09192778924,-5.260540313
2,0.1060664628,-5.274315804
2,0.1202054434,-5.28167267
2,0.134344117,-5.288811695
2,0.1484930785,-5.301616463
2,0.1626320592,-5.313574713
2,0.1767707327,-5.333235697
2,0.1909196943,-5.348484472
2,0.2050585214,-5.365013533
2,0.2191973485,-5.386021683
2,0.2333463101,-5.410880244
2,0.2474851372,-5.43852486
2,0.2616239643,-5.462475756
2,0.2757729258,-5.495849172
2,0.2899117529,-5.525498294
2,0.30405058,-5.558495268
2,0.3181995416,-5.590867387
2,0.3323382151,-5.627655535
2,0.3464771958,-5.671924755
2,0.3606261574,-5.704170756
2,0.3747648309,-5.752072548
2,0.3889038115,-5.796592093
2,0.4030526196,-5.839420514
2,0.4171914467,-5.885600608
2,0.4313304273,-5.940826781
2,0.4454792353,-5.983905527
2,0.4596180624,-6.031556994
2,0.4737568895,-6.078862593
2,0.4879058511,-6.129204572
2,0.5020445246,-6.178264353
2,0.5161835053,-6.22569607
2,0.5303323133,-6.274973692
2,0.5444711404,-6.317584273
2,0.558610121,-6.37052504
2,0.5727589291,-6.414293612
2,0.5868977562,-6.456151309
2,0.6010365832,-6.499075274
2,0.6151855448,-6.541997328
2,0.6293243719,-6.585014926
2,0.643463199,-6.622271238
2,0.6576020261,-6.664849335
2,0.6717509877,-6.708617906
2,0.6858898148,-6.738110337
2,0.7000286419,-6.772924552
2,0.7141776034,-4.483324756
2,0.7283164305,-4.655423811
2,0.7424652386,-4.837352402
2,0.7566042192,-5.019439595
2,0.7707428927,-5.209351818
2,0.7848918543,-5.408938796
2,0.7990306814,-5.615131666
2,0.8131695085,-5.816126959
2,0.8273084892,-6.01834521
2,0.8414574507,-6.223974373
2,0.8555959707,-6.425720639
2,0.8697349514,-6.623742611
2,0.8838839129,-6.827493384
2,0.89802274,-6.99141963
2,0.912171548,-7.130365019
2,0.9263103751,-7.250178736
2,0.9404492022,-7.361447024
2,0.9545981638,-7.442001833
2,0.9687371445,-7.517578814
2,0.982875818,-7.584014174
