ct,r_cm,log10_value
2,0.01392292175,-1.511004
2,0.1150038592,-1.537587798
2,0.2226491662,-1.60929693
2,0.3415562002,-1.731402587
2,0.4604890206,-1.887986513
2,0.5943973862,-2.068506324
2,0.68335256,-2.172098155
2,0.73022934,-2.323309284
2,0.8080800067,-2.641797589
2,0.9047091347,-3.055807753
2,1.102602014,-3.748502882
2,1.301301969,-4.372189132
2,1.574100863,-5.152383873
2,1.750301804,-5.63810163
2,2.021202703,-6.468791423
2.5,0.01726495403,-1.516706246
2.5,0.1177595397,-1.535295507
2.5,0.2051571381,-1.58069487
2.5,0.315898352,-1.688195449
2.5,0.4026212707,-1.803792171
2.5,0.4878811,-1.921584196
2.5,0.6088312248,-2.060008376
2.5,0.6919032517,-2.159107995
2.5,0.7363899792,-2.278892112
2.5,0.8057280566,-2.551500735
2.5,0.8925768282,-2.898491034
2.5,0.984527265,-3.232997662
2.5,1.061898767,-3.544903137
2.5,1.32740165,-4.350297679
2.5,1.588503142,-5.054594354
2.5,1.796302231,-5.542000924
2.5,2.095206579,-6.12649193
3,0.009546739552,-1.514309271
3,0.04449962101,-1.51839352
3,0.1042085965,-1.524600717
3,0.1938005403,-1.570101685
3,0.3016096101,-1.650690557
3,0.4072812956,-1.793197447
3,0.5311574065,-1.958482532
3,0.6812592435,-2.125787419
3,0.708953832,-2.167104071
3,0.7585420322,-2.303406844
3,0.8730982856,-2.693705886
3,1.024202905,-3.319487373
3,1.111001066,-3.602412075
3,1.383806503,-4.422307011
3,1.53550344,-4.849810746
3,1.752805201,-5.368191721
3,2.013806241,-5.855699897
3,2.212802548,-6.153101899
