# ct=2 Nx=38
# x_cm y_cm T_keV E_over_aTkeV4 aluminum
0.05 0.05 0.04992144603202291 0.03120451959572656 0
0.05 0.15 0.04755997724007197 0.02828375050389695 0
0.05 0.25 0.04349103752862055 0.02332620914373644 0
0.05 0.35 0.03763955131599553 0.0179659967831677 0
0.05 0.45 0.0312382433647158 0.01487307681322735 0
0.05 0.5499999999999999 0.026285727447869 0.009579359212736243 0
0.05 0.6499999999999999 0.02161318751701519 0.00772622970939047 0
0.05 0.7499999999999999 0.0188522388822238 0.004723262250564209 0
0.05 0.85 0.01688995046297926 0.003685899601488625 0
0.05 0.95 0.01530832156557219 0.003937030746012638 0
0.05 1.05 0.01399826486948908 0.003294704770759111 0
0.05 1.15 0.01295597547845989 0.002632407704356385 0
0.05 1.25 0.01207277718267568 0.002182072327450577 0
0.05 1.35 0.01143255317558014 0.002220167472172721 0
0.05 1.45 0.01095983920605864 0.001283232387977332 0
0.05 1.55 0.0106270539943551 0.001238990756998916 0
0.05 1.65 0.01041894122636237 0.0005396877995567405 0
0.05 1.75 0.01025451372035878 0.000580420531720997 0
0.05 1.85 0.01012403157183117 0.0004057828293580273 0
0.05 1.95 0.01005676781576577 0.0002703833281518426 0
0.05 2.05 0.01002306376577222 8.717224279551897e-05 0
0.05 2.15 0.01001178297510619 0.0001072531358795293 0
0.05 2.25 0.01000431625740162 1.504407464083072e-05 0
0.05 2.35 0.0100015763019853 1.816875066262924e-06 0
0.05 2.45 0.01000066984107363 5.099738887995924e-06 0
0.05 2.55 0.009999644978286999 1.792887077402847e-08 0
0.05 2.65 0.01000003208326973 1.121983456414343e-08 0
0.05 2.75 0.009999914697559693 1.196833640843672e-08 0
0.05 2.85 0.01000027587471365 6.722611253829282e-09 0
0.05 2.95 0.009999579471842285 6.801833871183073e-09 0
0.05 3.05 0.009999990238857354 1.447729303847789e-08 0
0.05 3.15 0.01000008416458855 1.371021020728077e-08 0
0.05 3.25 0.009999923358812741 4.336006297949348e-09 0
0.05 3.35 0.009999727164530587 9.29910981245234e-09 0
0.05 3.45 0.009999821111585167 1.041447156316722e-08 0
0.05 3.55 0.009999873584746983 1.270192176962741e-08 0
0.05 3.65 0.009999853232870354 4.249962195044365e-09 0
0.05 3.75 0.01000016001530981 2.732015621751124e-09 0
0.15 0.05 0.04750146102631307 0.02630535270111279 0
0.15 0.15 0.04534774905154824 0.02593359189803017 0
0.15 0.25 0.04253737433581152 0.02017676386796621 0
0.15 0.35 0.03701570570919997 0.01573355212293847 0
0.15 0.45 0.03125510082834701 0.01234271198303781 0
0.15 0.5499999999999999 0.02535361236871779 0.007778489419229062 0
0.15 0.6499999999999999 0.0209644201972135 0.006856557078429281 0
0.15 0.7499999999999999 0.01826750008580488 0.00526015381694729 0
0.15 0.85 0.01648291532545562 0.004318019235783285 0
0.15 0.95 0.01518152970618197 0.002770217809234808 0
0.15 1.05 0.0138869369233421 0.003248646201828014 0
0.15 1.15 0.01272310479986556 0.00276779599020548 0
0.15 1.25 0.01198865665801066 0.001837957014657017 0
0.15 1.35 0.01146338432119886 0.001735886490691426 0
0.15 1.45 0.011087063212098 0.001047383503710745 0
0.15 1.55 0.0107930077329248 0.001319163776024317 0
0.15 1.65 0.01053116240537481 0.0007172836178834115 0
0.15 1.75 0.01029501404748628 0.0006748743736938958 0
0.15 1.85 0.01019906774078586 0.0006401838640455466 0
0.15 1.95 0.01011680075291866 0.0003333330895478639 0
0.15 2.05 0.01006190003351699 0.0003163292440194878 0
0.15 2.15 0.01002049485709888 2.400764603394479e-05 0
0.15 2.25 0.01000457878634776 6.507036131433946e-05 0
0.15 2.35 0.01000060178016028 1.892962223938685e-05 0
0.15 2.45 0.0099998019122657 1.513390192686225e-08 0
0.15 2.55 0.01000017582956815 5.719661071955947e-09 0
0.15 2.65 0.009999992097004768 1.240590489583024e-08 0
0.15 2.75 0.01000010866945246 7.216631307249758e-09 0
0.15 2.85 0.009999887943380376 1.065306905684925e-08 0
0.15 2.95 0.009999951384653944 9.597395695974364e-09 0
0.15 3.05 0.01000022903986832 1.339849404859266e-08 0
0.15 3.15 0.009999822375754381 2.121468648953641e-09 0
0.15 3.25 0.01000029380400193 6.633643467203539e-09 0
0.15 3.35 0.01000028142883792 7.160153786914355e-09 0
0.15 3.45 0.01000018072066368 1.151931743538434e-08 0
0.15 3.55 0.009999890113267757 7.370920730821161e-09 0
0.15 3.65 0.01000002968032078 8.673228365714318e-09 0
0.15 3.75 0.01000018972664364 4.532726778100004e-09 0
0.25 0.05 0.04437489343388096 0.02294205772872007 0
0.25 0.15 0.04222625684447255 0.02201821483027838 0
0.25 0.25 0.03892561316177641 0.01793349758034974 0
0.25 0.35 0.03340835174895877 0.01363735167680031 0
0.25 0.45 0.02865116161110461 0.01030854872243073 0
0.25 0.5499999999999999 0.02415620764848532 0.008203859420669066 0
0.25 0.6499999999999999 0.02065173739825767 0.008013491884223898 0
0.25 0.7499999999999999 0.01811082668327613 0.004480544888600718 0
0.25 0.85 0.01630096677734154 0.004337665414322534 0
0.25 0.95 0.01459913384690334 0.003638902588043127 0
0.25 1.05 0.01337447311243242 0.003157424758456754 0
0.25 1.15 0.012620589513135 0.002220858219024699 0
0.25 1.25 0.01198093613722976 0.001688304009420246 0
0.25 1.35 0.01138857306688752 0.001425553787442548 0
0.25 1.45 0.01085301345251437 0.001472930091362567 0
0.25 1.55 0.01054695061361957 0.0006828317250690192 0
0.25 1.65 0.01038874113938011 0.0006349897482302696 0
0.25 1.75 0.01025866389522565 0.0006930318924656481 0
0.25 1.85 0.01014108509717147 0.0005873159256406864 0
0.25 1.95 0.01007988085831762 0.0001549661230450547 0
0.25 2.05 0.0100546608961883 0.0001660270263635893 0
0.25 2.15 0.0100224672264032 5.675461790084669e-05 0
0.25 2.25 0.0100099082076609 5.451453348177791e-05 0
0.25 2.35 0.009999900212069552 1.13667470932943e-05 0
0.25 2.45 0.01000017610101324 1.322282517639621e-08 0
0.25 2.55 0.01000013770286813 9.814493300610753e-09 0
0.25 2.65 0.009999948571547752 1.497641157760561e-08 0
0.25 2.75 0.0100001537624982 1.273340815147072e-08 0
0.25 2.85 0.009999861327728472 1.861296780429291e-08 0
0.25 2.95 0.009999976018474261 1.793828862587223e-08 0
0.25 3.05 0.01000025162185793 7.307270004607014e-09 0
0.25 3.15 0.01000003355290659 2.07413029571136e-08 0
0.25 3.25 0.01000005364674607 1.127781847296617e-08 0
0.25 3.35 0.009999995252006361 1.170277817548481e-08 0
0.25 3.45 0.009999918554549087 2.359177053580587e-08 0
0.25 3.55 0.01000007135790483 1.093642451848936e-08 0
0.25 3.65 0.01000000981207151 1.818954387473164e-08 0
0.25 3.75 0.009999680496058833 1.609264346105663e-08 0
0.35 0.05 0.03877161942763885 0.01727858411784738 0
0.35 0.15 0.03725142896747433 0.01626641281789058 0
0.35 0.25 0.03305677494275255 0.01525197188043276 0
0.35 0.35 0.02961478194305882 0.009986896252634251 0
0.35 0.45 0.02526368208392023 0.009642790838648786 0
0.35 0.5499999999999999 0.02231594486463953 0.007862851505787277 0
0.35 0.6499999999999999 0.01978574618424534 0.006258083754889233 0
0.35 0.7499999999999999 0.01760001955119258 0.00463874847657312 0
0.35 0.85 0.0157844681316367 0.003834643337540064 0
0.35 0.95 0.0144454866781626 0.002952735515628525 0
0.35 1.05 0.01350323443263397 0.003581990189581337 0
0.35 1.15 0.01239336068918635 0.002402094939762588 0
0.35 1.25 0.01169800004328423 0.001493400110211682 0
0.35 1.35 0.01133030563510853 0.001244585128859022 0
0.35 1.45 0.01090421750219372 0.001554341711605921 0
0.35 1.55 0.01053990558849452 0.0007994550277684707 0
0.35 1.65 0.01033529361747677 0.000871067017345158 0
0.35 1.75 0.01018497353322484 0.000521095844428673 0
0.35 1.85 0.01009396399429055 0.0002433625151247347 0
0.35 1.95 0.01005184578216552 0.0001635456703749117 0
0.35 2.05 0.0100222596262901 0.0001022353967266848 0
0.35 2.15 0.01001015289780638 1.141134055501054e-05 0
0.35 2.25 0.01000439317146785 5.158481444154768e-05 0
0.35 2.35 0.01000089481894818 4.181943472169244e-06 0
0.35 2.45 0.01000004534393341 8.295798658130169e-09 0
0.35 2.55 0.009999727763535877 7.871735840886217e-09 0
0.35 2.65 0.009999978197598697 5.669828750038662e-09 0
0.35 2.75 0.009999888358209436 1.266086098433575e-08 0
0.35 2.85 0.009999891269736456 9.106739816488386e-09 0
0.35 2.95 0.01000025283680785 4.48610694790787e-09 0
0.35 3.05 0.009999861762026403 3.360426593126677e-09 0
0.35 3.15 0.01000002220572739 1.474830676367673e-08 0
0.35 3.25 0.010000011068812 1.040544518938059e-08 0
0.35 3.35 0.0100001449008046 4.462339279107263e-09 0
0.35 3.45 0.009999948882676652 2.465690166112647e-09 0
0.35 3.55 0.009999720913193361 7.01390684281764e-09 0
0.35 3.65 0.01000024337382101 7.550235253874151e-09 0
0.35 3.75 0.01000010023495137 9.803154932852267e-09 0
0.45 0.05 0.0320604488732739 0.01129668268541537 0
0.45 0.15 0.03112126593503183 0.01346994496142758 0
0.45 0.25 0.02816872339408522 0.009297888057614653 0
0.45 0.35 0.02555239014738853 0.008707367425620702 0
0.45 0.45 0.02281135663827724 0.007092589470912929 0
