# ct=2.5 Nx=38
# x_cm y_cm T_keV E_over_aTkeV4 aluminum
0.05 0.05 0.05591269887894597 0.02987518427199285 0
0.05 0.15 0.05366606589729227 0.02862513963477972 0
0.05 0.25 0.04919915526592123 0.02133486049612543 0
0.05 0.35 0.04292059204170291 0.02087809875651539 0
0.05 0.45 0.03552927808848941 0.01303652585924907 0
0.05 0.5499999999999999 0.0303897904366452 0.01009883832473494 0
0.05 0.6499999999999999 0.02560960199537294 0.0074737071288919 0
0.05 0.7499999999999999 0.0222067401258518 0.00622814538482515 0
0.05 0.85 0.01952568976970241 0.004862011987479463 0
0.05 0.95 0.01757382604174406 0.004174579227561246 0
0.05 1.05 0.01602834702180709 0.002844157945807401 0
0.05 1.15 0.01487054005579506 0.003029365443835011 0
0.05 1.25 0.01391770155525783 0.00187840685790469 0
0.05 1.35 0.01314766113741426 0.002428006340108259 0
0.05 1.45 0.01241342738972578 0.00199160064396625 0
0.05 1.55 0.01182946033038464 0.001692177244768436 0
0.05 1.65 0.01140080614485856 0.001843714506229265 0
0.05 1.75 0.01099222285159087 0.001528196671662361 0
0.05 1.85 0.01068373467652239 0.001091954280429542 0
0.05 1.95 0.01049481034909413 0.000504714056314309 0
0.05 2.05 0.01033770851694294 0.0006993397563920944 0
0.05 2.15 0.01023511689293278 0.0003500952352450651 0
0.05 2.25 0.01014008769019313 0.0002064959059093241 0
0.05 2.35 0.01007752307725034 0.0003214632264621538 0
0.05 2.45 0.01004415807209522 0.0002136058405400575 0
0.05 2.55 0.01002018227736966 7.373661422387857e-05 0
0.05 2.65 0.01000640168939938 6.583895503373423e-05 0
0.05 2.75 0.01000156567967338 5.699045440863052e-06 0
0.05 2.85 0.01000108523071631 1.399121365278483e-08 0
0.05 2.95 0.009999888409144692 4.329135663527916e-06 0
0.05 3.05 0.009999785047775451 1.681585361532837e-08 0
0.05 3.15 0.01000007322014497 8.391011642205626e-09 0
0.05 3.25 0.009999944453213633 6.459880595271039e-09 0
0.05 3.35 0.009999697510178724 7.023836617762305e-09 0
0.05 3.45 0.01000005124434424 3.887210149653764e-09 0
0.05 3.55 0.009999816311577665 1.265760757444936e-08 0
0.05 3.65 0.009999719142169145 7.428266738734133e-09 0
0.05 3.75 0.01000027269404725 3.630782165982074e-09 0
0.15 0.05 0.05339504467061199 0.0285968753925399 0
0.15 0.15 0.05093564755904595 0.02490446888876756 0
0.15 0.25 0.04760249587635306 0.02257274088006815 0
0.15 0.35 0.04158871737764352 0.01681873743515679 0
0.15 0.45 0.03493253499272393 0.01383188511072779 0
0.15 0.5499999999999999 0.02861411533527274 0.009956281728524131 0
0.15 0.6499999999999999 0.02384774353009881 0.006679175785144022 0
0.15 0.7499999999999999 0.02109388513083146 0.006409726504628904 0
0.15 0.85 0.01901926306678313 0.00536844453765165 0
0.15 0.95 0.01732834581306299 0.003892213832299676 0
0.15 1.05 0.01591217926682906 0.00291059732563992 0
0.15 1.15 0.01460918026933151 0.002788576170674468 0
0.15 1.25 0.01366566994942577 0.001438470840878187 0
0.15 1.35 0.01293367141387 0.002691357615866771 0
0.15 1.45 0.01235094115416579 0.00186755045311788 0
0.15 1.55 0.01192689454907245 0.001303153644697807 0
0.15 1.65 0.01142591200173285 0.001457974538765264 0
0.15 1.75 0.01106371637711185 0.001370462745094218 0
0.15 1.85 0.01078578544977638 0.0006748767953021115 0
0.15 1.95 0.01054709280765567 0.0007355197816137656 0
0.15 2.05 0.01038491682851036 0.0007250732220002614 0
0.15 2.15 0.01026125137672937 0.0003817515237624556 0
0.15 2.25 0.01017269213789302 0.0004571939216108223 0
0.15 2.35 0.01010093445632212 0.000298089541022465 0
0.15 2.45 0.01006749042926153 0.0002011975284965234 0
0.15 2.55 0.01003303589710623 0.0001733777759040703 0
0.15 2.65 0.01001180000886193 6.076068215901285e-05 0
0.15 2.75 0.01000460914528446 6.853020154561471e-05 0
0.15 2.85 0.01000013937495638 5.795107844908739e-09 0
0.15 2.95 0.009999929188705754 5.399955716214769e-09 0
0.15 3.05 0.01000041342453585 6.473267195816666e-09 0
0.15 3.15 0.009999936456595155 1.030054252989765e-08 0
0.15 3.25 0.01000009770755796 1.105534735763083e-08 0
0.15 3.35 0.01000014004756679 3.258236995760036e-09 0
0.15 3.45 0.01000025817124651 1.091645729556454e-08 0
0.15 3.55 0.009999680772705095 1.891793784870909e-08 0
0.15 3.65 0.01000013551383163 1.280013563074601e-08 0
0.15 3.75 0.010000101430944 1.965404408228091e-08 0
0.25 0.05 0.04965824482044212 0.0225904161094921 0
0.25 0.15 0.04760300209565065 0.02148784664572056 0
0.25 0.25 0.04356856503426595 0.01931423176772852 0
0.25 0.35 0.03769213753646869 0.01469543891443906 0
0.25 0.45 0.0327509345992523 0.01180664166490272 0
0.25 0.5499999999999999 0.02739954499676949 0.008751511434059377 0
0.25 0.6499999999999999 0.02373136110443601 0.006799905965689464 0
0.25 0.7499999999999999 0.02070637389281824 0.00535861693421432 0
0.25 0.85 0.01848030165070388 0.004104261975325773 0
0.25 0.95 0.01683633926512313 0.00409363303300531 0
0.25 1.05 0.01555454389083833 0.003057456382451225 0
0.25 1.15 0.01446071302614948 0.002779144794986092 0
0.25 1.25 0.01361574853355358 0.002177965241107759 0
0.25 1.35 0.01268887299295473 0.002198890678171986 0
0.25 1.45 0.0120263216998374 0.001422943003443023 0
0.25 1.55 0.0115116648464903 0.00152327758291808 0
0.25 1.65 0.01117744505009039 0.001400608223822006 0
0.25 1.75 0.0108608499588702 0.0009801482005639386 0
