# Reference data digitized from McGraw, Till & Warsa,
# "A new operator-split Compton scattering method",
# J. Comput. Phys. 478 (2023) 111980, Figure 2(a).
# Method: IN-FBC (Inline Full-Boltzmann Compton), dt = 7.9e-4 sh.
# Columns: time [s]   Tgas [K]   Trad [K]
7.90e-12   2.90075e+07   1.16045e+08
1.58e-11   3.71344e+07   1.16030e+08
2.37e-11   4.40971e+07   1.16010e+08
3.16e-11   5.22206e+07   1.15985e+08
3.95e-11   6.03442e+07   1.15960e+08
4.74e-11   6.73069e+07   1.15935e+08
5.53e-11   7.42697e+07   1.15910e+08
6.32e-11   8.12325e+07   1.15885e+08
7.11e-11   8.70112e+07   1.15860e+08
7.90e-11   9.16058e+07   1.15840e+08
9.48e-11   9.86380e+07   1.15800e+08
1.185e-10  1.04437e+08   1.15740e+08
1.580e-10  1.07918e+08   1.15660e+08
1.975e-10  1.10238e+08   1.15590e+08
2.370e-10  1.12558e+08   1.15540e+08
3.160e-10  1.13720e+08   1.15500e+08
3.950e-10  1.14882e+08   1.15480e+08
5.530e-10  1.15510e+08   1.15460e+08
7.110e-10  1.15800e+08   1.15450e+08
1.000e-09  1.16045e+08   1.15440e+08
